latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-10.3,-46.581,327.7,1.1,1.1,2019-09-27,0130,T,100,6.0NRT,294.9,28.5,N
-10.302,-46.591,325.9,1.1,1.1,2019-09-27,0130,T,100,6.0NRT,295,25.7,N
-10.296,-46.588,328.4,1.1,1.1,2019-09-27,0130,T,100,6.0NRT,294.7,30.4,N
-10.478,-47.989,316.1,1.3,1.1,2019-09-27,0130,T,92,6.0NRT,273.7,21.8,N
-10.48,-48.001,329.6,1.3,1.1,2019-09-27,0130,T,100,6.0NRT,272.9,43.9,N
-10.151,-46.269,315.3,1.1,1,2019-09-27,0130,T,87,6.0NRT,294.3,13.5,N
-10.152,-46.279,317.1,1.1,1,2019-09-27,0130,T,93,6.0NRT,293.7,15.2,N
-10.14,-46.26,310.7,1.1,1,2019-09-27,0130,T,52,6.0NRT,295.4,9.1,N
-10.141,-46.27,324.3,1.1,1,2019-09-27,0130,T,100,6.0NRT,296,22.7,N
-10.132,-46.271,308.7,1.1,1,2019-09-27,0130,T,74,6.0NRT,295.4,7.6,N
-10.129,-46.669,301.7,1.1,1.1,2019-09-27,0130,T,44,6.0NRT,289.6,4.3,N
-10.007,-46.305,306.6,1.1,1,2019-09-27,0130,T,69,6.0NRT,295.4,6.4,N
-9.983,-46.315,305.9,1.1,1,2019-09-27,0130,T,66,6.0NRT,295.7,6.2,N
-9.984,-46.325,305.2,1.1,1,2019-09-27,0130,T,63,6.0NRT,294.7,5.7,N
-9.85,-46.43,313.9,1.1,1,2019-09-27,0130,T,88,6.0NRT,294.5,11.4,N
-9.832,-46.443,306.6,1.1,1,2019-09-27,0130,T,69,6.0NRT,296,5.8,N
-9.712,-46.696,312.5,1.1,1.1,2019-09-27,0130,T,64,6.0NRT,293.9,10.6,N
-9.714,-46.706,396.3,1.1,1.1,2019-09-27,0130,T,100,6.0NRT,301.3,270.6,N
-9.715,-46.716,351.9,1.1,1.1,2019-09-27,0130,T,100,6.0NRT,295.5,75.8,N
-9.716,-46.726,334.2,1.1,1.1,2019-09-27,0130,T,100,6.0NRT,293.6,39.1,N
-9.865,-47.832,303.9,1.3,1.1,2019-09-27,0130,T,54,6.0NRT,284,6.9,N
-9.849,-47.786,310.7,1.3,1.1,2019-09-27,0130,T,81,6.0NRT,285.8,12.3,N
-9.851,-47.798,317,1.3,1.1,2019-09-27,0130,T,94,6.0NRT,285.8,19.5,N
-9.84,-47.8,302.5,1.3,1.1,2019-09-27,0130,T,47,6.0NRT,285.3,5.1,N
-9.534,-46.662,307.2,1.1,1,2019-09-27,0130,T,40,6.0NRT,293.4,6.9,N
-9.58,-48.07,300.1,1.3,1.1,2019-09-27,0130,T,8,6.0NRT,275.8,7.1,N
-8.864,-44.827,307.8,1,1,2019-09-27,0130,T,73,6.0NRT,289.7,7.2,N
-8.99,-45.791,316,1,1,2019-09-27,0130,T,92,6.0NRT,294.6,13.5,N
